      9 flower
      9 fingers
      9 figure
      9 divinity
      9 bhakti
      9 authoress
      9 VamP.
      9 Upaniṣads
      9 Upanishads
      9 Up
      9 Lāṭy
      9 GriS.
      8 winds
      8 wind
      8 war
      8 vati
      8 variety
      8 sū
      8 sāra
      8 subject
      8 stages
      8 source
      8 slayer
      8 sky
      8 shankhBr
      8 shamk
      8 sarit
      8 sagara
      8 pāla
      8 pralamba
      8 positions
      8 pool
      8 pond
      8 order
      8 naga
      8 mixture
      8 magic
      8 kevalins
      8 ii
      8 history
      8 feet
      8 creeper
      8 conch
      8 composition
      8 classes
      8 brāhmaṇa
      8 branch
      8 account
      8 Venis
      8 VahniP.
      8 B
      7 ŚāṅkhBr
      7 Śak
      7 weight
      7 virgin
      7 vessel
      7 treatises
      7 treating
      7 todar
      7 sword
      7 svāmin
      7 story
      7 stone
      7 star
      7 signs
      7 shivP.
      7 shakya
      7 sanctuary
      7 saMgraha
      7 rite
      7 rays
      7 pañca
      7 parts
      7 owl
      7 nativities
      7 mat
      7 mara
      7 j
      7 hill
      7 hands
      7 hair
      7 gargadi
      7 fires
      7 fig
      7 era
      7 episode
      7 doctrine
      7 dIpikA
      7 d
      7 constellations
      7 confluence
      7 compendium
      7 clouds
      7 bāhu
      7 boar
      7 bhū
      7 anthology
      7 air
      7 accents
      7 VarBṛ
      7 Hcar
      6 Śrī
      6 zodiac
      6 writers
      6 wheel
      6 ways
      6 towns
      6 tales
      6 svamin
      6 sort
      6 shudras
      6 shudradh
      6 shudra
      6 shakha
      6 sense
      6 season
      6 scribe
      6 sattva
      6 regions
      6 quarter
      6 pushpa
      6 pupils
      6 prashnottara
      6 penance
      6 peak
      6 pavitrezwi
      6 panca
      6 padma
      6 one
      6 offering
      6 observances
      6 nouns
      6 nirRaya
      6 name
      6 n
      6 motion
      6 morning
      6 mind
      6 messenger
      6 meaning
      6 libation
      6 letters
      6 keeper
      6 jackal
      6 instants
      6 hunter
      6 formularies
      6 fever
      6 eyes
      6 elements
      6 eclipse
      6 destruction
      6 creation
      6 college
      6 club
      6 chs
      6 character
      6 cent
      6 brahmana
      6 birds
      6 bhārata
      6 bhaṭṭa
      6 banks
      6 bank
      6 bahu
      6 astronomy
      6 architecture
      6 ape
      6 apastamba
      6 alphabet
      6 abridgment
      6 abode
      6 T.
      6 GrishrS.
      6 Git
      5 Śatr
      5 youth
      5 yajña
      5 worlds
      5 vii
      5 vi
      5 vessels
      5 version
      5 veins
      5 vegetable
      5 vahana
      5 vaha
      5 vadha
      5 use
      5 universe
      5 uncle
      5 tika
      5 thief
