slno,keywords_in_comments
9482,minister
9483,woman
9484,
9485,flesh
9486,"uncle,MBh"
9487,prince
9488,"eyes,disease"
9489,"measure,angula"
9490,
9491,plant
9492,"measure,angula"
9493,gambler
9495,
9496,mother
9497,
9498,"hymn,dice,Name"
9499,
9501,plant
9502,plant
9503,descendants
9504,"cycle,year"
9505,mountain
9506,"half,festival,day"
9507,
9508,tree
9509,river
9510,
9511,
9512,"lines,metre"
9513,
9514,"weapon,MBh"
9515,philosopher
9516,philosopher
9517,philosopher
9518,
9519,
9520,"son,MBh"
9521,author
9522,
9523,disciple
9524,shBr
9525,plant
9526,
9527,
9528,"thrower,mountain,stature,mountains,rishi,fr,jar,asti,son,hymns,ocean,water,Name,medicine,author"
9529,
9530,"literature,compendium"
9531,fires
9532,"work,architecture"
9533,
9534,node
9535,Agni
9536,"stems,ending,noun"
9537,"deities,class"
9538,
9539,"substance,sea"
9540,man
9541,work
9542,hell
9543,
9545,"substance,cf,sea"
9546,"substance,cf,sea"
9547,shiva
9548,apshr
9549,prince
9551,"brahmans,hotṛ"
9552,"horse,Lāṭy"
9553,
9554,.
9555,son
9556,son
9557,letter
9558,teacher
9559,"gaṇadharas,pupils"
9560,expounder
9561,
9562,prince
9563,
9564,bug
9565,"hymn,author"
9566,"shBr,ŚBr,book"
9567,shankhshr
9568,
9569,
9570,teacher
9571,prince
9572,"story,king"
9573,authority
9574,"teacher,MBh"
9575,muhūrta
9576,man
9577,father
9579,son
9580,"modifications,ceremonies,offering,ceremony,sacrifice,priests,performer,deities,saṃsthās,Name,days,fire,number"
9581,class
9582,
9583,
9584,father
9585,"deity,class"
9586,"Name,men"
9587,MBh
9588,
9589,MBh
9590,king
9591,instrument
9592,flowers
9593,son
9594,"month,Name,12th"
9595,"hymn,Name"
9596,
9597,fingers
9598,BhP.
9599,
9600,
9601,man
9602,"son,Yājñ,prayer,author"
9603,"prayer,author"
9604,demons
9605,snake
9606,
9607,"sect,adherent"
9608,
9609,"marks,figures,book"
9610,chapter
9611,"work,words,value,numerals"
9612,teacher
9613,texts
9614,
9615,king
9616,brother
9618,
9619,
9620,"quiverings,work,limbs,events"
9621,prince
9622,
9623,MBh
9624,prince
9625,prince
9627,"creeper,L."
9629,creeper
9630,
9631,"rishi,Ṛṣi"
9632,
9633,"law,book"
9634,sage
9635,shrub
9636,
9637,guard
9638,"shiva,persons"
9640,town
9641,
9642,
9643,book
9644,rishis
9645,rishis
9646,shiva
9647,river
9648,"river,lake"
9649,chapter
9650,
9651,
9653,"shBr,gift"
9654,
9655,"bhaga,author"
9656,commentator
9657,"acyutanti,warrior,tribes,ancestor,tribe,acyutadanti"
9658,"acyutanti,warrior,tribes,ancestor,tribe,acyutadanti"
9659,
9660,
9661,
9662,"place,MBh"
9663,"ja,shiva,sun"
9664,descendant
9665,substance
9667,people
9669,
9670,"plant,udder,bulbs"
9671,town
9672,
9673,plant
9674,divinity
9675,"son,Name"
9676,father
9677,tree
9678,"tribe,prince"
9679,"son,hymns,author"
9681,"son,hymns,author"
9683,
9684,place
9685,tribe
9686,district
9687,"asterisms,uttarashadha,mūla,divisions,planets,mula,paths,sun,pūrvāṣāḍha,path,moon"
9688,town
9689,"term,compounds,example,milk,goats"
9690,
9692,descendant
9694,
9695,
9696,"gala,shBr,aja,ornament,vessel"
9697,"priest,snake"
9698,"demon,snake"
9699,".,vessel,apshr"
9700,Name
9701,
9703,friend
9704,king
9705,king
9706,king
9707,shiva
9708,
9709,"teachers,contemporaries,texts"
9710,"deity,direction"
9711,"king,Name,second"
9712,king
9713,descendant
9714,plant
9715,priest
9716,
9717,"town,river"
9718,
9719,
9720,father
9721,
9722,
9723,"antidote,kind"
9724,bodha
9725,
9726,apshr
9727,son
9728,
9730,mother
9732,"vegetable,perfume"
9733,mountain
9734,plant
9735,plants
9736,
9737,river
9738,"MBh,arrows"
9739,son
9740,prince
9741,MBh
9742,
9743,shiva
9744,country
9745,town
9746,"MBh,people"
9747,metre
9748,palace
9749,"patr,ŚāṅkhBr,man"
9750,"stake,point,ani,aṇi,MBh"
9751,shiva
9752,"fingers,juice"
9753,oil
9754,hymn
9755,"duties,laymen,vows,faith"
9756,"son,MBh"
9757,egg
9758,shiva
9759,tribe
9760,"weight,Car"
9761,
9762,"earth,hell"
9763,shiva
9764,
9765,"yoga,index"
9766,"creeper,Putradātrī"
9767,"burn,kind"
9768,snake
9769,king
9770,charm
9772,
9773,MBh
9774,king
9775,"ceremony,Name"
9776,"Name,plants"
9777,"cuḍikā,culikā,variety,atijagatī,cudika,metres"
9778,verse
9779,
9780,
9781,"Name,plant"
9782,libations
9783,"metres,classes"
9784,"place,fire,brick"
9785,"metres,class,aticchandas"
9786,Agni
9788,king
9789,
9790,king
9791,"son,brother"
9792,prince
9793,teacher
9794,"metres,class,aticchandas"
9795,
9796,
9797,"pādas,padas,metre"
9798,king
9799,prince
9800,prince
9801,shrubs
9802,shrubs
9803,son
9804,"century,author"
9805,author
9806,metre
9807,"ativahika,linga,liṅga,Name,sharira,śarīra"
9808,
9809,"lines,metre"
9810,tribe
9811,prince
9812,
9813,"shaiva,sect"
9814,
9815,
9816,
9817,
9818,"ashvshr,rishi,Ṛṣi"
9819,man
9820,man
9821,"sacrifice,modifications,second"
9822,son
9823,work
9824,"PBr,vessel"
9825,"metres,lines,class"
9826,"metres,lines,class"
9827,"rishi,Ṛṣi"
9828,"Name,sacrifice"
9829,"priest,worship,fire,prayers"
9830,shiva
9831,Name
9832,
9833,
9834,"TBr,brick,kind"
9835,
9836,
9837,"son,vidya"
9838,shiva
9839,shiva
9840,man
9841,"libation,graha,sacrifice"
9842,PBr
9843,"gods,mother,wife,daughter,adityas,goddesses"
9844,
9845,prince
9846,"magic,treatise,part"
9847,"daughter,law"
9848,"substance,species"
9849,
9850,
9851,
9852,"Name,angas,aṅgas,Buddhists"
9853,portion
9854,
9855,work
9856,"veda,seventh"
9857,"essence,prodigies,book"
9858,shiva
9859,work
9860,measure
9861,grandson
9862,
9863,
9864,soul
9865,"Name,metre"
9866,"lines,metre"
9867,
9868,
9869,
9870,
9871,
9872,author
9873,work
9874,work
9875,work
9876,
9878,
9879,region
9880,son
9881,"attendant,sun"
9882,
9883,
9884,mountain
9885,"demon,snake"
9886,place
9887,"work,school"
9888,BhP.
9889,author
9890,Buddh
9891,
9892,births
9893,"charioteer,prince,father"
9894,country
9895,MBh
9896,"son,man"
9897,shrS.
9898,"Name,work"
9899,
9900,river
9901,work
9902,work
9903,"killer,victims"
9904,"invocation,formula"
9905,
9907,sacrifice
9908,book
9909,
9910,"aggregate,libations"
9911,"mantras,prayers,priests,book"
9912,grandfather
9913,
9914,
9915,
9916,others
9917,
9918,love
9919,"verses,metre"
9920,queen
9921,"king,chamberlain"
9922,kings
9923,
9924,work
9925,
9926,queen
9927,"verses,metre"
9928,personage
9929,poet
9930,king
9931,
9932,
9934,females
9935,
9936,
9937,author
9938,fourth
9939,shiva
9940,persons
9941,king
9942,"warrior,chief"
9943,man
9944,
9945,man
9946,king
9947,
9948,"conch,shell"
9949,"third,age"
9950,
9951,king
9952,
9953,"king,snake,wife"
9954,
9955,
9956,
9957,teacher
9958,shBr
9959,shiva
9960,"Name,chief"
9961,chief
9962,Buddh
9963,persons
9964,king
9965,drama
9966,
9967,demon
9968,
9970,
9971,
9972,king
9974,
9975,
9976,"son,father"
9977,"ceremony,miscarriage,woman"
9978,"feet,lines,species,metre"
9979,"Parīkṣit,MBh,father"
9980,daughter
9982,"fish,Pañcat"
9983,orders
9984,river
9985,"garden,disciples,shakyamuni,merchant,Name"
9986,"garden,disciples,shakyamuni,merchant,Name"
9987,shiva
9988,"son,Name,shura"
9990,"rishi,Ṛṣi"
9991,"son,prince"
9992,plant
9993,
9994,disease
9995,mother
9996,mother
9997,"sect,Name"
9998,
9999,saint
10000,man
10001,gram
10002,river
10003,"amaurosis,Name,blindness,disease"
10004,goddess
10005,
10006,
10007,
10009,"sutras,writers,sūtras,author"
10010,
10011,"rishi,persons"
10012,planet
10013,fire
10014,fire
10015,"meditation,kind"
10016,
10017,"Name,man"
10018,
10019,"Agni,fire"
10020,"demon,MBh"
10021,king
10022,"king,sons"
10024,"king,Name"
10025,metre
10026,MBh
10027,country
10028,
10029,"Name,chaps,part,book"
10030,"verses,metre"
10031,creation
10032,crow
10033,river
10034,drama
10035,
10036,"ancestress,anudrishtineya"
10037,"Name,chapters,MBh,book"
10038,islands
10039,"ceremony,KaushBr"
10040,"tribe,man"
10041,
10042,"Name,class"
10043,"contemporary,muni"
10044,"children,demon"
10045,
10046,mendicant
10047,"MBh,people"
10048,"Upaniṣads,Upanishads,paraphrase,principal"
10049,
10050,
10051,
10052,book
10053,"son,father"
10054,
10055,cousin
10056,plant
10057,saint
10058,king
10059,
10060,country
10061,
10062,"priest,PBr,snake"
10063,
10064,"place,country"
10065,class
10066,river
10067,
10068,woman
10069,"Name,treatise"
10070,"death,necessity,verses,poem,MBh"
10071,"son,father"
10072,man
10073,son
10074,son
10075,
10076,"sons,rāṣṭra"
10077,
10078,"rishi,Ṛṣi"
10079,work
10080,river
10081,man
10082,"Name,shiva"
10083,
10084,"Name,shiva"
10085,"works,words"
10086,"works,words"
10087,personages
10088,
10089,"country,north"
10090,
10091,
10092,"king,Name,man"
10093,"metres,class"
10094,MBh
10095,village
10096,village
10097,village
10098,"Name,devotion,form"
10099,sacrifice
10100,
10101,village
10102,
10103,country
10104,brick
10105,son
10106,shiva
10107,"king,sage"
10108,metre
10109,river
10110,
10111,PBr
10112,son
10114,
10115,"Name,shiva"
10116,"Name,shiva"
10117,mountain
10118,
10119,"Name,shiva"
10120,"Name,shiva"
10121,people
10123,
10124,
10125,shiva
10126,goddess
10127,
10128,shBr
10129,woman
10130,"samgraha,author"
10131,work
10132,work
10133,work
10134,"pond,shBr"
10135,work
10136,king
10137,
10138,MaitrS.
10139,"Name,star"
10140,
10141,
10142,
10143,
10144,
10145,Varuṇa
10146,Varuṇa
10147,"king,brother,serpent"
10148,mansions
10149,daughter
10150,plant
10151,plant
10152,plants
10153,plants
10154,"part,village"
10155,country
10156,
10157,"MBh,people"
10158,song
10159,"serpent,demon,MBh"
10161,hymns
10162,"Name,shiva"
10163,ceremony
10164,
10165,
10166,
10167,
10168,
10169,metre
10171,
10173,
10174,plant
10175,man
10176,love
10177,
10178,
10179,PBr
10180,"sage,MBh"
10181,town
10182,"hymn,Name"
10183,daughter
10184,"gods,TBr"
10185,"m.,descendants,man"
10186,
10187,
10188,man
10189,"writer,saint,century"
10190,"PBr,sacrifice"
10191,"perfection,stage"
10192,work
10193,rishi
10194,
10195,
10196,"son,rishi,hymn,composer"
10197,son
10198,"hymn,shBr,MaitrS.,ŚBr"
10199,
10200,Buddh
10201,king
10202,Buddh
10203,"divinities,class"
10204,shiva
10205,
10206,
10207,
10208,
10210,
10211,
10212,apshr
10213,"MBh,man"
10214,man
10215,woman
10216,"Name,shiva"
10217,"gods,physician"
10218,Name
10219,
10220,
10221,
10222,"Name,shiva"
10223,"MBh,Brahmā"
10224,mountain
10225,work
10226,
10228,Dvārakā
10229,work
10230,
10231,
10232,
10233,shiva
10235,Buddh
10236,
10237,man
10238,"king,son,father"
10239,physician
10240,
10241,man
10242,"hymn,shankhshr"
10244,village
10245,metre
10246,
10247,
10248,"work,incantations"
10249,"sacrifice,part"
10250,"son,father"
10252,star
10254,MBh
10256,work
10257,"section,Name,writings"
10258,"Name,vocabulary"
10259,vocabulary
10260,month
10261,"commentator,koṣa"
10262,"vāsiṣṭhasāra,Yoga,vasishthasara,author"
10263,
10264,"rishi,Ṛṣi"
10265,men
10266,author
10267,chapter
10268,verses
10269,
10270,
10271,descendant
10272,"times,shBr,ceremony,sacrifice,days"
10273,"adhyavasaya,intellect,function"
10274,"superiority,sources"
10275,month
10276,"Name,ahaṃkāra,ishvara"
10277,son
10279,town
10280,temple
10281,"rishi,Ṛṣi"
10282,
10283,
10284,BhP.
10285,world
10286,shiva
10287,poet
10288,"cf,drama"
10289,king
10290,prince
10291,encyclopaedia
10293,Name
10294,
10295,hymn
10296,"MBh,people"
10297,"shBr,ceremony,king,inauguration,ŚBr"
10298,plant
10299,family
10300,"son,MBh"
10301,"MBh,people"
10302,"town,MBh"
10303,"species,metre"
10304,chief
10305,VBr
10306,prince
10307,shiva
10308,
10309,insect
10310,VBr
10311,
10312,"deities,class"
10313,son
10314,verse
10315,"war,songs"
10316,"fire,blazes"
10318,ceremony
10319,"king,descendant,son"
10320,PBr
10321,"sacrifice,expiatory"
10322,ceremony
10323,
10324,"ceremony,KaushBr"
10325,"ceremony,KaushBr"
10326,play
10328,mountain
10329,phenomenon
10330,"elephants,globe"
10331,
10332,
10333,
10334,elephant
10335,elephant
10336,verse
10337,shiva
10338,prince
10339,
10340,
10342,"Name,source,range,part"
10343,"Name,state,capital"
10344,dictionary
10345,author
10346,plant
10347,Name
10348,lexicographer
10350,
10351,
10352,
10353,"MBh,mountain"
10354,towns
10355,town
10356,
10357,poet
10358,
10359,
10360,
10361,king
10362,Name
10363,"court,lexicographer,A.D.,century,Name,gems"
10364,
10365,
10366,shiva
10367,
10368,
10369,town
10370,
10371,
10372,
10373,
10374,king
10375,prince
10376,prince
10377,poet
10379,goddess
10380,
10381,poet
10382,"hymn,rishi,composer"
10383,"prince,MBh,descendant"
10384,teacher
10385,river
10386,"demon,snake"
10387,
10388,author
10389,son
10390,
10391,deity
10392,
10393,
10394,MBh
10395,deities
10396,
10397,Sutra
10398,energy
10399,man
10400,king
10401,
10402,son
10403,son
10404,man
10405,
10406,spirit
10407,"Name,elements"
10408,shiva
10409,MBh
10410,shiva
10412,"mother,MBh"
10415,
10416,
10418,temple
10419,"times,syllables,metre"
10420,prince
10421,metre
10422,Name
10423,MBh
10424,
10425,women
10426,Name
10427,"monastery,prabhā"
10428,metre
10429,"Name,chapters,MBh"
10430,
10431,MBh
10433,"anthology,poet"
10434,"shBr,bird"
10435,work
10436,"Name,city"
10437,plant
10438,
10439,man
10440,man
10441,MBh
10442,work
10443,Name
10444,work
10445,"gods,oblation"
10446,"PadmaP.,shiva"
10447,
10448,
10449,"Name,chapter,book"
10450,son
10451,MBh
10452,shiva
10454,"MBh,spear"
10455,"MBh,night"
10456,"letter,ksh"
10457,
10459,"sunset,rays,sunrise"
10460,shiva
10461,
10462,
10463,poet
10464,text
10465,
10466,king
10467,drama
10468,
10469,prince
10470,river
10471,shiva
10472,
10473,
10474,author
10475,poet
10476,courtezan
10477,mansion
10478,country
10479,mansion
10480,town
10481,princess
10482,woman
10483,
10484,"son,king"
10485,son
10486,
10488,country
10489,"country,MBh,inhabitants"
10491,plant
10492,"shiva,wife"
10493,
10494,"king,daughter,MBh"
10495,TBr
10496,MBh
10497,rivers
10498,"king,daughter,MBh"
10499,man
10501,wife
10503,place
10504,rivers
10505,chapter
10506,shiva
10507,
10508,
10509,
10510,chapter
10511,"BhP.,forest"
10512,
10513,MBh
10515,"syllables,metre"
10516,
10517,"deity,family"
10518,forest
10519,mansion
10520,mansion
10521,"river,MBh"
10522,
10523,"river,MBh"
10524,plant
10525,river
10526,
10528,"letter,v"
10529,"syllables,metre"
10530,lotus
10531,"son,MBh"
10532,"shBr,ŚBr,preceptress"
10533,"rishi,father"
10534,plant
10535,"sacrifice,MBh"
10536,
10537,rites
10538,"sons,MBh"
10539,"nephew,author"
10540,"worms,species"
10541,mountain
10542,river
10543,son
10544,residences
10545,
10546,hell
10547,
10548,
10549,shBr
10550,"son,MBh"
10551,
10553,
10554,texts
10555,"shBr,composer,hymns"
10556,"words,ayā,verses,soma,beginning"
10557,
10558,love
10559,"conjunction,planets"
10560,son
10561,"king,MBh"
10562,sacrifice
10563,"king,son,father"
10565,son
10567,son
10568,
10569,
10571,
10572,shiva
10573,"interpretation,ocean,world"
10574,king
10575,place
10576,daughter
10577,man
10578,goddess
10579,son
10581,"wilderness,life"
10582,plant
10583,"vegetable,L."
10584,"ceremony,day"
10585,"section,MBh"
10586,plant
10587,plant
10588,plant
10589,plant
10590,"females,month,festival,half,day"
10591,"females,month,festival,half,day"
10592,
10593,"shBr,verse,forest,oblation"
10594,MBh
10595,letter
10596,"ancestress,family"
10597,"ancestress,family"
10598,spirits
10599,demon
10600,
10601,"Śārṅgadhara,anthology,poet"
10602,plant
10603,
10604,"son,MBh"
10605,"son,MBh"
10606,teacher
10607,"son,BhP."
10608,
10610,shiva
10612,son
10614,people
10615,
10616,author
10617,prince
10620,shape
10622,Durgā
10623,"daughter,wives"
10624,prince
10625,
10626,man
10627,"MBh,princes"
10629,
10630,brother
10632,town
10633,
10634,
10635,
10636,town
10637,plant
10638,plant
10639,gaṇa
10640,
10641,"teacher,shBr,TBr"
10643,"shBr,pupil,ŚBr"
10644,teacher
10645,"seq,river,MBh"
10646,"Śiva,shiva"
10647,author
10648,
10649,work
10650,part
10651,
10652,lake
10654,"BhP.,cf"
10655,"faculty,kind"
10656,MBh
10657,
10658,spirits
10659,
10660,
10662,plant
10663,
10664,
10665,"arka,physician,cikitsa"
10666,
10667,
10668,place
10669,
10670,
10671,
10673,"rivers,MBh"
10674,planet
10675,
10676,
10677,"demon,snake,MBh"
10678,
10679,
10680,
10681,"work,-cikitā"
10682,
10683,
10684,
10685,man
10686,plant
10687,
10688,
10689,river
10690,
10691,
10692,offerings
10693,"PBr,shastra,shBr"
10694,"rishi,patron,Ṛṣi"
10695,"sharng,poet"
10696,hell
