slno,keywords_in_comments
14656,"BhP.,ed"
14657,man
14658,preceptor
14659,
14660,man
14661,MBh
14662,daughter
14663,"king,MBh"
14664,division
14665,"yatu,(=,dhānās"
14666,
14667,"Pāṇ,."
14668,man
14669,shBr
14671,
14672,place
14673,
14674,
14675,
14676,"commentary,author"
14677,
14678,work
14679,
14680,work
14681,
14683,
14684,
14685,
14686,
14687,"mukha,ed,man"
14688,teacher
14689,
14690,
14691,
14692,part
14693,"book,law,author"
14694,"Name,acara,work"
14695,
14696,man
14698,
14699,
14700,"patr,ŚBr,MBh,man"
14701,work
14702,
14703,"division,world"
14704,
14705,mothers
14706,
14707,
14708,
14709,
14710,
14711,
14712,
14713,"work,omens"
14714,goddess
14715,prince
14716,"prince,descendant"
14717,"patronymic,man"
14718,
14719,Buddh
14720,
14722,"deity,prince,household,form"
14723,
14724,
14725,king
14726,
14727,"town,land"
14728,"prince,tribe"
14729,
14730,
14731,
14732,goddess
14733,MBh
14735,sovereign
14736,
14737,man
14738,son
14739,
14741,kinds
14742,"Name,physician"
14743,
14744,
14745,"son,play,author"
14746,prince
14747,v
14749,
14750,town
14751,"son,prince,father"
14752,princess
14753,Buddh
14754,woman
14755,
14756,
14757,
14758,town
14759,
14760,
14761,
14762,MBh
14763,
14764,
14765,
14766,
14767,town
14768,servant
14769,MBh
14770,"kāñcī,town,W.,pura"
14771,"city,cities"
14772,"district,round"
14773,town
14774,town
14775,town
14776,work
14777,plant
14778,commentator
14779,recensions
14780,work
14781,
14782,man
14783,man
14784,"cf,kana"
14785,
14786,teacher
14788,country
14789,"king,serpent"
14790,"dhāra,country"
14791,
14792,
14793,grammarian
14794,dynasty
14795,
14796,man
14797,
14798,"dynasty,xii"
14799,teacher
14800,dynasty
14801,grammar
14802,"works,comm"
14803,"kātarāyaṇa,man"
14804,man
14805,
14806,work
14807,work
14808,work
14809,
14810,"sutras,sūtras,aphorisms,Yājñ,annotations,author"
14811,shBr
14813,work
14814,work
14815,
14816,
14817,teacher
14818,works
14819,daughter
14820,
14822,work
14823,
14824,work
14825,work
14826,"shBr,regions,people,serpent,demons"
14828,son
14830,
14832,
14834,plants
14835,"syllables,lines,metre"
14836,author
14837,
14838,man
14839,
14841,
14842,town
14843,town
14844,metre
14845,woman
14846,prince
14847,
14848,town
14849,"pura,city,nagarī,north"
14850,
14851,MBh
14854,"Name,sixth"
14855,"city,MBh"
14856,
14857,
14858,class
14859,teacher
14860,MBh
14861,caste
14862,son
14867,"place,VarBṛ"
14868,ascetics
14869,work
14870,
14871,work
14872,"Car,man"
14873,
14876,"days,festival"
14877,place
14879,
14880,
14882,"river,MBh"
14883,teacher
14884,
14885,
14888,
14889,spirits
14890,MBh
14891,
14893,"syllables,lines,metre"
14894,men
14895,"daughter,MBh,wife"
14896,MBh
14897,woman
14898,wife
14899,
14900,
14901,Liṅga
14902,BhP.
14903,"syllables,lines,metre"
14904,mountain
14905,
14906,"MBh,mothers"
14907,
14908,
14909,
14910,
14911,MBh
14912,work
14913,
14914,"MBh,sun"
14916,"MBh,attendance,mothers"
14918,work
14919,daughter
14920,Pañcat
14921,"Name,chapter"
14922,"cf,v"
14924,author
14925,"rupa,lake"
14926,goddess
14927,works
14928,work
14929,"letters,alphabet,work,signification"
14930,
14931,
14933,
14934,work
14935,town
14936,
14937,"Daś,Dash"
14938,
14939,
14940,
14941,prince
14943,
14944,
14945,work
14946,author
14947,work
14948,town
14949,man
14950,MBh
14951,
14952,
14953,works
14954,"ed,mountain"
14955,work
14956,
14957,"love,treatise"
14958,king
14959,teacher
14960,
14961,district
14962,MBh
14963,Tantra
14964,
14965,Pañcat
14966,
14967,
14968,
14969,
14970,
14971,work
14972,Buddh
14973,Tar
14974,
14975,
14976,
14977,
14978,
14979,daughter
14980,
14981,"Pāṇ,."
14983,wife
14984,author
14985,
14986,work
14987,
14988,author
14989,
14990,
14991,MBh
14993,
14994,"forest,MBh,sqq"
14996,MBh
14998,"MBh,ff"
14999,priestess
15000,town
15001,
15002,"śāstra,principles,shastra,sāra,nīti,master,Name,author"
15003,locality
15004,"country,north"
15005,country
15007,MBh
15008,"plant,ed"
15009,"west,country,north"
15011,plant
15012,plant
15013,town
15014,locality
15015,MBh
15016,attendant
15017,
15018,
15019,"xii,MBh,ff,man"
15021,plant
15022,
15023,work
15024,work
15025,
15026,plant
15027,work
15028,
15029,"king,ridge,country,skirts"
15030,"Name,river"
15031,
15034,MBh
15035,region
15036,"plant,seed"
15037,man
15038,"plant,v"
15039,MBh
15040,island
15041,country
15042,
15043,"MBh,man"
15044,
15045,
15046,
15047,
15048,"Name,verses"
15049,
15050,
15051,work
15052,Sutra
15053,
15055,"son,MBh"
15057,"locality,shBr,river,ŚBr"
15058,man
15060,man
15061,"serpent,demon"
15062,town
15065,
15066,son
15068,
15069,
15070,"emperors,world"
15071,poem
15072,
15073,man
15074,"month,year,part"
15075,kārttikeya
15077,"revolution,period,year"
15078,
15079,"Comm,physician"
15080,
15081,"month,Name,festivals,treatise"
15082,section
15083,
15084,observance
15085,"son,war,MBh"
15086,Name
15087,
15088,man
15089,
15092,school
15093,plant
15094,
15095,"teacher,shBr,ŚBr"
15096,plant
15097,"plant,kārṣya"
15098,
15099,
15100,
15102,
15104,shiva
15106,
15107,
15109,
15110,"mother,spirit"
15111,Satyavatī
15112,river
15113,
15114,
15115,MBh
15116,shiva
15118,
15120,
15121,"king,MBh"
15122,
15123,plant
15124,"locality,MBh"
15125,
15126,river
15127,river
15128,MBh
15129,
15130,MBh
15131,"son,MBh"
15132,"son,cf"
15133,
15135,
15136,"MBh,mountain"
15137,"plant,shish"
15138,"plant,(=,shyama"
15139,river
15140,"MBh,people"
15141,woman
15142,plant
15143,elephant
15144,prince
15146,
15147,
15148,
15149,man
15150,
15151,
15152,man
15153,"ff,MBh,mountain"
15154,poet
15155,poet
15156,woman
15157,forester
15158,town
15159,
15160,
15161,
15162,
15163,
15164,
15165,
15166,
15167,MBh
15169,Buddh
15170,
15172,
15173,"mother,daughter,MBh,spirit"
15175,
15177,"herb,pot"
15178,mountain
15179,"xii,MBh"
15180,
15181,
15183,
15184,
15185,
15186,MBh
15187,king
15189,"kali,work,kālī,kr"
15190,
15191,
15192,"purana,Name,purāṇa"
15193,
15194,work
15195,ceremony
15196,
15197,
15198,
15199,MBh
15200,
15201,
15202,work
15204,"half,festival,day"
15205,work
15206,
15207,"purana,Name,purāṇa"
15208,"month,festival"
15209,
15210,
15211,
15212,work
15213,
15214,work
15215,
15216,work
15217,work
15218,
15219,MBh
15220,
15221,MBh
15222,
15223,work
15224,"Name,siddhânta,chapter"
15225,
15226,
15227,"MBh,sun"
15228,work
15229,work
15230,
15231,works
15232,"Name,work"
15233,Name
15234,
15235,MBh
15236,author
15237,shiva
15238,"Name,work"
15239,work
15240,work
15241,work
15242,work
15243,work
15244,
15245,MBh
15246,
15247,"son,soma"
15248,work
15249,
15250,
15251,
15252,
15253,"son,MBh"
15254,work
15255,"place,sun"
15256,Linga
15257,shiva
15258,work
15259,"work,jurisprudence"
15260,shiva
15261,-2
15262,"magic,woman"
15263,"magic,woman"
15264,shiva
15265,
15266,daughter
15267,work
15268,"drug,medicine"
15269,"work,vahana"
15270,"son,MBh"
15271,work
15272,ceremony
15273,
15274,work
15275,
15276,
15277,
15278,work
15279,
15280,"drug,medicine"
15281,shivP.
15282,
15283,"Name,work"
15284,son
15286,
15287,
15288,
15289,
15290,
15291,
15292,
15293,
15294,
15295,MBh
15296,
15297,"MBh,mountain"
15298,"mountain,people"
15299,
15300,
15302,
15303,caravansery
15304,
15305,
15306,"teacher,muni"
15307,grammar
15308,
15309,"teacher,pupil"
15310,mountain
15312,
15313,"author,poet"
15314,"daughter,wife"
15315,"mother,wife"
15317,
15318,
15319,work
15320,work
15321,
15322,
15323,
15324,
15325,
15326,
15328,"river,f.,accord,MBh,legend"
15330,river
15332,fiend
15333,"work,poems"
15334,work
15335,"work,poems"
15336,"princess,statue"
15337,"work,poems,composition,rhetoric,Name"
15338,"work,commentary"
15339,"work,commentary"
15340,"work,commentary"
15341,"work,commentary"
15342,"work,commentary"
15343,"work,commentary"
15344,
15345,
15346,work
15347,poem
15348,work
15349,"work,poetics"
15350,work
15351,work
15352,work
15353,"work,poems"
15354,
15355,
15356,
15357,
15358,
15359,
15360,
15361,
15362,
15364,man
15366,"grammarian,others"
15367,philosopher
15368,teacher
15370,
15371,°
15372,son
15374,"kings,prince,ancestor"
15375,"shBr,MBh,people,ŚBr"
15376,
15377,man
15378,king
15379,MBh
15381,"scholiast,works"
15382,
15383,
15384,grammarian
15385,prince
15386,Name
15387,poem
15388,
15389,"kāśikā,panjika,pañjikā"
15390,"son,MBh,man"
15391,"mother,wife"
15392,
15394,man
15395,dramatist
15396,work
15397,work
15398,work
15399,work
15400,work
15401,"poem,Benares"
15402,prince
15403,
15404,"king,ancestor,father"
15406,
15408,"seeds,tree"
15410,sun
15412,
15413,
15414,MBh
15415,
15416,section
15417,work
15419,
15420,
15421,
15422,"teacher,shBr,ŚBr"
15425,
15426,"teacher,shBr,ŚBr"
15427,
15429,"attendants,MBh"
15430,plant
15431,"diseases,demon"
15432,"plant,(=,kaṭukā"
15433,"mother,quadrupeds,ff,wife,daughter"
15434,town
15435,Name
15436,plant
15437,
15438,"teacher,xii"
15439,man
15440,village
15442,author
15443,
15444,wife
15445,MBh
15446,Tantr
15447,"writer,work,father,author"
15450,son
15451,"grape,sort,acid"
15452,goddess
15453,
15454,"plant,(=,varvūra"
15455,deity
15456,man
15457,man
15458,"MBh,people"
15459,man
15460,"place,family"
15461,"children,imp"
15462,Pañcat
15463,mountain
15464,"attendants,shiva"
15465,
15466,man
15467,demon
15468,"handfuls,Name,measure"
15469,weight
15470,"dāna,MBh"
15471,MBh
15472,MBh
15473,MBh
15474,man
15475,prince
15477,"g.,takshashiladi,locality"
15478,
15479,
15480,
15481,"austerity,object,form"
15482,"river,MBh"
15483,"agnidhra,sons,portion"
15484,"=,MBh"
15485,
15486,
15487,"spirits,class"
15488,
15489,kind
15490,"shaiva,work"
15491,river
15492,
15493,
15495,
15496,
15497,MBh
15498,mountaineer
15499,goddess
15501,
15502,
15503,
15504,"syllables,lines,metre"
15505,
15506,MBh
15507,MBh
15509,"MBh,ff"
15510,
15511,
15512,man
15513,"xii,MBh,shiva"
15514,
15515,
15516,
15517,"town,xii"
15518,
15519,"mountain,south"
15520,
15521,"mountain,city,MBh,cave"
15522,mountain
15523,book
15524,
15525,
15526,"attendant,sun"
15527,"son,v"
15529,
15530,"army,MBh,ff,chief"
15531,
15533,MBh
15534,"poem,Name"
15535,insect
15536,prince
15537,
15538,
15539,
15540,energies
15541,son
15542,work
15543,author
15544,
15545,MBh
15547,
15548,
15549,"son,prince"
15550,
15551,"son,prince"
15552,
15553,author
15555,man
15556,man
15557,"nephew,serpent,king"
15558,man
15559,syllables
15560,"rāga,raga,Vîta"
15561,
15562,"years,year,cycle,second"
15563,
15564,syllables
15565,work
15566,
15567,
15568,disease
15569,
15570,"avi,karni,parṇī,parni,plant"
15571,"son,brother"
15572,
15573,man
15574,man
15576,
15577,"Name,adi,man"
15578,
15579,
15580,
15581,MBh
15582,MBh
15583,
15584,
15585,"syllables,lines,metre"
15586,
15587,
15588,demon
15589,"town,river"
15590,"plant,-karkaṭaśṛṅgī"
15591,
15592,bird
15593,river
15594,
15595,
15596,
15597,
15598,town
15599,
15600,
15601,
15603,"Name,ancestor"
15604,"spirit,kind"
15605,"parṇī,granthi,parni,plant,perfume"
15606,"son,prince,MBh"
15607,"race,branch,people,connection,MBh"
15608,Name
15609,town
15610,
15611,instrument
15612,Buddh
15613,"sanctuary,side,statue"
15614,"leaves,plant"
15615,mountain
15616,
15617,Buddh
15618,Pāṇ
15619,
15620,
15621,
15622,"MBh,mothers"
15623,
15624,MBh
15626,
15627,son
15629,daughter
15630,"eclipse,ways"
15631,locality
15632,plant
15633,
15634,"women,breasts,spirit"
15635,
15636,plant
15637,man
15638,author
15639,river
15640,fish
15641,"Name,commentary"
15642,ff
15643,man
15644,MBh
15646,
15647,"attendants,MBh"
15648,"accord,man"
15649,
15651,v
15652,river
15653,
15654,man
15655,power
15657,"syllables,lines,metre"
15658,plant
15659,
15660,man
15661,attendants
15662,"g.,plant,bilvādi"
15663,locality
15664,river
15665,mansion
15666,"bhū,grass,tṛṇa"
15667,
15668,
15669,
15670,
15671,MBh
15672,man
15674,woman
15675,"book,teacher,law,author"
15676,Raga
15677,village
15678,"time,measure"
15679,"anukula,metre"
15680,
15681,
15682,"Name,man"
15683,grammarian
15684,"wives,rivalry,son,consequence,eyes"
15685,place
15686,plant
15687,"son,prince"
15689,
15690,teacher
15691,man
15692,pupil
15693,
15694,"xii,MBh,shiva"
15696,
15697,figures
15698,
15699,work
15700,work
15701,work
15702,MBh
15703,"cf,MBh"
15704,MBh
15706,"n,river"
15707,man
15708,town
15709,"son,MBh"
15710,work
15711,work
15712,work
15713,work
15714,
15715,work
15716,"son,MBh"
15717,work
15718,
15719,
15720,"fever,demon"
15722,
15723,
15724,MBh
15726,
15727,
15728,Buddh
15729,
15730,"son,rāṣṭra,MBh"
15731,
15732,
15733,
15734,"son,rāṣṭra,MBh"
15735,woman
15736,"son,rāṣṭra,MBh"
15738,capital
15739,MBh
15740,
15741,woman
15742,shakti
15743,"Sarpiṇī,plants"
15744,"river,MBh"
15745,"poetry,metre"
15746,
15747,shiva
15749,cf
15750,"attendants,ocean,sun"
15751,man
15752,rishis
15753,rishi
15754,"descendant,hymns,author"
15755,man
15756,
15757,KalkiP.
15758,teacher
15759,town
15760,man
15761,
15762,"guḍīcī,shrub"
15763,
15764,"son,eyes,bird,king"
15765,lvii
15766,MBh
15767,prince
15768,"shBr,glands,organs,number,ŚBr"
15769,section
15770,MBh
15771,son
15773,
15774,"king,prince,MBh"
15775,
15776,
15777,"prince,daughter"
15778,
15780,MBh
15781,emperor
15783,
15784,MBh
15786,
15787,work
15788,MBh
15789,
15790,man
15791,shBr
15792,prince
15794,
15795,being
15796,MBh
15797,shiva
15798,"place,Name"
15799,"Daś,Dash"
15800,
15801,hymn
15802,hymn
15803,
15804,
15805,
15806,woman
15807,caste
15808,"model,constellations,man,attendant,person"
15809,"sect,founder"
15810,
15811,
15812,"diseases,youth,MBh,author"
15813,"son,hymns,author"
15814,
15816,"MBh,people"
15817,"flags,banner"
15818,"son,MBh,wife"
15820,"shuktimat,river,mountain,MBh"
15822,son
15823,"Daś,."
15824,
15825,prince
15826,poet
15827,mother
15828,"iii,river,MBh"
15829,king
15830,king
15831,poet
15832,
15833,"Name,lines,syllables,metre"
15835,physician
15836,poem
15837,astronomer
15838,MBh
15839,
15841,minister
15842,"bhāṣya,author"
15843,"teacher,shBr,ŚBr"
15844,Name
15845,
15846,MBh
15847,"division,continent,part"
15848,river
15849,man
15850,part
15851,section
15852,"teacher,philosophy"
15853,work
15854,
15855,
15856,man
15857,"MaitrS.,wind"
15858,"king,serpent,sister,wife"
15860,
15861,
15862,comet
15864,
15865,astronomer
15866,girl
15867,MBh
15869,
15870,
15871,woman
15872,plat
15874,daughter
15876,"plant,fruit"
15877,weapon
15878,"son,brother,MBh"
15880,work
15881,hell
15883,MBh
15884,
15886,"section,Name"
15887,girl
15888,son
15889,
15890,
15891,weapon
15892,son
15893,
15894,demons
15895,
15897,MBh
15898,"MBh,attendant"
15899,
15901,
15902,
15903,"MBh,attendant"
15904,
15905,"apshr,brick"
15906,attendant
15907,
15908,"MBh,attendant"
15909,"MBh,mothers"
15910,work
15911,hell
15912,"hostile,children,demon"
15913,"MBh,wife"
15915,"demon,MBh"
15916,work
15917,"Car,wound"
15918,
15920,cf
15921,"v,MBh,mountain"
15922,daughter
15923,woman
15924,man
15925,servant
15926,
15927,"kauray,man"
15928,"v,mountain"
15929,mountain
15930,town
15931,"country,race,happiness,systems,home,range,MBh,divisions"
15932,"son,ancestor"
15933,"son,grandson"
15934,"anuśatikādi,man"
15935,
15936,"country,MBh"
15937,"MBh,ff"
15938,
15939,
15940,MBh
15941,prince
15942,prince
15943,
15944,"prince,BhP."
15945,
15946,
15947,
15948,"author,poet"
15949,
15950,prince
15951,deity
15952,
15953,"rishi,antara,Ṛṣi"
15954,plant
15955,"cf,worship,rites"
15956,man
15957,
15958,shakti
15959,author
15960,author
15962,
15963,
15964,"work,families"
15965,BhP.
15966,
15967,
15968,work
15969,woman
15970,work
15971,chief
15973,MBh
15974,"river,MBh"
15975,work
15976,works
15977,works
15978,"mālā,author"
15979,king
15980,
15981,deity
15982,work
15983,plant
15984,
15985,
15986,"ardra,mansions"
15987,mansions
15988,
15989,
15990,
15991,author
15992,"Name,man"
15993,work
15994,work
15995,day
15996,author
15997,
15999,
16000,
16001,
16002,mansions
16003,"v,shudras"
16004,man
16005,prince
16006,"teacher,xii,pupil"
16007,
16008,
16009,
16010,service
16011,prince
16012,"MBh,people"
16013,"MBh,people"
16014,river
16015,
16016,
16017,
16018,
16019,people
16020,place
16021,"author,poet"
16022,river
16023,"river,MBh"
16024,commentator
16025,syllables
16026,"vegetable,shaka,gholi"
16027,town
16028,MBh
16029,
16030,horse
16031,town
16032,mare
16033,princess
16034,prince
16035,"rhetoric,work"
16036,"prince,ff"
16037,
16038,elephant
16039,princess
16040,
16041,prince
16042,
16043,
16044,"river,MBh"
16045,son
16047,plant
16048,
16049,
16050,
16051,"MBh,divisions"
16052,"river,MBh"
16053,"son,prince,roman"
16054,"town,shakya,muni"
16055,son
16056,
16057,"parṇa,plant,perfume"
16058,"Bomb,ed,hermitage"
16059,
16060,
16061,ocean
16062,"town,vatī,-sthalī,MBh"
16063,MBh
16064,town
16065,"town,MBh"
16066,"son,prince"
16067,
16068,"son,town,residence"
16069,"Viṣṇ,MBh"
16070,"son,v"
16072,
16073,mountain
16074,
16075,
16076,village
16077,capital
16078,"son,reference"
16079,
16080,MBh
16081,v
16082,shiva
16084,woman
16085,
16086,poem
16087,poem
16088,"scribe,pupil"
16089,
16090,"son,MBh"
16091,"son,town,founder"
16092,prince
16093,"grandfather,MBh,father"
16095,people
16096,
16097,
16098,cf
16099,teacher
16100,
16101,
16102,shBr
16103,"N.,river"
16104,
16105,
16106,man
16107,teacher
16108,
16109,"leprosy,remedy"
16110,"verses,Bomb,MBh,ff"
16111,"demon,°,disease"
16112,verses
16113,
16114,"Bomb,MBh"
16115,attendant
16116,"descendant,author"
16118,"chapters,sections,lata"
16119,"Arhat,attendant"
16120,
16121,
16122,
16123,being
16124,author
16125,mountain
16126,town
16127,
16128,
16129,"syllables,lines,metre"
16130,
16131,play
16132,Suryapr
16133,Sukh
16134,merchant
16135,metre
16136,"work,existence,acarya"
16137,"work,commentary"
16138,"work,commentary"
16139,"work,commentary"
16140,"work,commentary"
16141,"work,commentary"
16142,"work,commentary"
16143,"work,commentary"
16144,
16145,
16146,
16147,work
16148,
16149,prince
16150,"syllables,lines,metre"
16151,"syllables,lines,metre"
16152,"v,mountain"
16153,descendant
16154,"days,observances"
16155,"days,observances,shankhshr"
16156,"teacher,VBr"
16157,
16158,"attendants,MBh"
16159,
16160,prince
16161,"MBh,man"
16162,"serpent,race,MBh"
16163,
16164,weight
16165,"v,rivers"
16166,locality
16168,constellation
16169,
16170,
16172,
16173,work
16174,work
16175,work
16176,
16177,hell
16178,mountain
16179,work
16180,"treatise,part"
16181,plant
16183,attendants
16184,prince
16185,
16186,man
16187,
16188,
16189,people
16190,grains
16191,"children,cough,demon,disease"
16192,
16193,plant
16194,MBh
16195,"parts,kurca,body"
16196,Name
16197,village
16198,
16199,deity
16201,"time,period"
16202,diagram
16203,author
16204,
16205,work
16206,"g.,locality,dhumadi"
16207,mountain
16208,
16209,
16210,man
16211,"imp,goblin"
16212,
16213,Yājñ
16214,work
16215,demon
16216,goddess
16217,treatise
16218,"affixes,treatise"
16219,MBh
16221,"side,die,dots,points"
16222,
16223,"age,world,ages"
16224,
16225,
16226,work
16227,
16229,
16230,MBh
16231,
16232,
16233,poet
16234,
16236,wife
16237,
16238,"son,prince"
16239,prince
16240,"plant,kola"
16241,"substance,L."
16242,
16243,"family,man"
16244,man
16245,"v,river"
16246,"son,father"
16247,"descendant,author"
16248,grandson
16249,man
16250,river
16251,"MBh,princes"
16252,father
16253,"shamkar,man"
16254,"son,prince,MBh,father"
16256,
16257,
16258,pupil
16259,prince
16260,locality
16261,MBh
16262,
16263,
16264,mountain
16265,work
16266,"sect,Name"
16267,son
16268,
16269,GaṇP.
16270,sun
16271,lxxxvi
16272,
16273,attendants
16274,"warrior,MBh"
16275,son
16276,son
16278,
16279,"mother,wife"
16280,"MBh,persons"
16282,
16283,"son,prince"
16284,prince
16285,
16286,son
16287,"son,BhP.,cara,father"
16288,son
16289,
16290,son
16291,"rishi,author"
16292,"river,MBh"
16293,"work,jurisprudence"
16294,work
16295,work
16296,"work,rāma,shiva"
16297,"Name,work"
16298,work
16299,work
16300,work
16301,work
16302,work
16303,work
16304,work
16305,"work,Name"
16306,
16307,work
16308,Tantr
16309,"mother,daughter,datta,wife"
16310,man
16312,"son,MBh"
16313,"Car,animal"
16314,
16315,
16316,work
16317,
16318,king
16319,"xii,MBh"
16320,"days,penance"
16321,"penance,year"
16322,"penance,Yājñ"
16323,plant
16324,"verses,ff"
16325,
16326,Liṅga
16327,MBh
16328,
16329,constellation
16330,moon
16331,
16332,man
16333,
16334,
16335,mountain
16336,"support,rites"
16337,man
16338,"friend,man"
16339,"MBh,man"
16340,"son,daughter,sage"
16341,man
16342,"Name,sharngP.,chapter"
16343,"rūpā,river"
16344,
16345,son
16346,
16347,
16348,
16349,man
16350,son
16352,"mother,wife"
16353,"river,MBh"
16354,
16355,
16356,
16357,v
16358,disease
16359,
16360,town
16361,
16362,
16364,wife
16365,"utensil,cf,weaver"
16366,"rishi,author"
16367,
16369,MBh
16370,"xii,MBh,shiva"
16371,
16372,MBh
16375,Agni
16376,xliii
16378,
16379,work
16380,"sage,MBh"
16381,
16383,
16384,poets
16385,
16386,"MBh,attendant"
16388,
16389,
16390,MBh
16392,river
16393,"poem,Name"
16394,work
16395,"Name,work"
16396,work
16397,"MBh,attendant"
16398,"poem,Name"
16399,Name
16400,mountain
16401,man
16402,"copyist,son"
16403,"prince,century"
16404,logician
16405,prophet
16406,philosopher
16407,
16408,
16409,"section,Name"
16410,man
16411,author
16412,
16413,teacher
16414,
16415,"music,Name,work,author"
16416,pupil
16417,"candrikā,author"
16419,teacher
16420,"son,author"
16422,man
16423,MBh
16424,author
16425,teacher
16426,"district,town"
16427,poet
16428,MBh
16429,
16430,Buddh
16431,author
16433,
16434,man
16435,goddess
16436,
16437,poet
16438,
16439,"poem,Name"
16440,plant
16441,
16442,"Name,work"
16443,drama
16444,
16445,grammarian
16447,
16448,work
16449,work
16450,
16451,work
16452,"son,Name,grandson,author"
16453,author
16455,
16456,Buddh
16457,
16458,"Name,author"
16459,
16460,work
16461,man
16462,kings
16463,prince
16464,kings
16465,plant
16466,"poem,Name"
16467,"MBh,mothers"
16468,
16469,"Name,work"
16470,"river,MBh"
16471,man
16472,man
16473,"Name,author"
16474,place
16475,
16476,lake
16477,"hand,position"
16478,MBh
16479,poet
16480,"work,author"
16481,man
16482,
16483,
16484,
16485,hymn
16486,hymn
16487,
16488,
16489,
16490,mountain
16491,"descendants,man"
16492,mountain
16493,"Car,sage"
16494,scholiast
16496,man
16497,"L.,shrub"
16498,works
16499,"work,Name"
16500,
16501,plant
16502,"work,Name"
16503,MBh
16504,school
16505,bird
16506,"praise,part"
16507,"MBh,attendant"
16509,man
16510,man
16511,
16512,"formulas,verses"
16513,"warrior,tribe,MBh"
16514,
16515,"L.,shrub"
16516,locality
16517,"work,mālā,author"
16518,"son,author"
16520,
16522,"MBh,man"
16523,
16525,mountain
16527,wife
16528,"locality,W."
16529,son
16531,
16532,"MBh,ff"
16533,
16535,
16536,"king,MBh"
16538,plant
16539,ff
16540,"constellation,VarBṛ"
16542,
16544,
16545,
16547,"section,NandiP."
16548,
16549,man
16550,
16551,.
16552,author
16553,
16554,section
16555,shamkar
16556,
16557,"shiva,statue"
16558,
16559,
16560,Liṅga
16561,locality
16562,
16563,"kenezitam,word"
16564,"love,wife"
16565,"teacher,pupil"
16566,
16567,
16568,
16569,
16570,
16571,"son,people"
16572,treatise
16573,country
16574,work
16575,work
16576,work
16577,inhabitants
16578,"VamP.,demon"
16579,woman
16580,attendants
16581,wife
16582,town
16583,treatise
16584,
16585,"prince,BhP."
16586,"locality,MBh"
16587,"°,locality"
16588,"country,MBh"
16589,
16590,
16591,work
16592,work
16593,work
16594,work
16595,flower
16596,"mineral,lxxvii"
16597,
16599,
16600,
16601,
16602,
16603,"plant,root,flag"
16604,
16605,"MBh,mothers"
16606,river
16607,"v,shBr"
16608,work
16609,Car
16610,
16611,MBh
16612,"lexicon,author"
16614,author
16615,authors
16616,man
16617,astronomer
16618,man
16619,man
16620,"parishishta,author"
16621,
16622,merchant
16623,"grammarian,shudradh"
16624,
16625,"son,grandson,author"
16626,author
16628,
16629,
16630,"son,prince"
16631,mother
16632,
16634,MBh
16636,
16637,
16638,MBh
16640,
16641,
16642,man
16643,"syllables,metre"
16644,"MBh,mountain"
16645,village
16646,town
16647,woman
16648,work
16649,v
16650,
16651,father
16652,"Car,bird"
16653,"mother,husband,monkey,MBh"
16654,
16656,"Car,bird"
16657,"mother,husband,monkey,MBh"
16658,
16660,
16661,
16662,man
16663,"son,ix,shivi"
16664,"king,father"
16666,daughter
16669,
16670,teacher
16671,MBh
16672,
16673,"writings,class"
16674,
16675,
16680,teacher
16682,writer
16686,"son,author"
16687,
16688,serpent
16690,"pond,lake"
16694,
16695,"mountain,residence,north,peaks,shiva,range,MBh"
16696,
16697,
16698,copyist
16699,
16700,shiva
16701,
16702,
16703,plant
16704,
16705,
16706,
16707,teacher
16708,pupil
16709,instructor
16710,
16711,"Rāga,Raga"
16712,"son,prince,brother"
16714,
16715,"river,locality,MBh"
16716,
16717,apshr
16721,"shBr,ŚBr"
16722,
16724,river
16726,author
16727,
16728,MBh
16729,"f.,MBh,attendant"
16730,shBr
16731,
16732,"love,treatise,indecent,art"
16733,
16734,MBh
16735,man
16736,woman
16737,king
16738,"shudradh,author"
16740,
16741,treatise
16742,"Name,treatise"
16743,"MBh,attendant"
16744,goddess
16745,section
16746,work
16747,observance
16748,king
16749,king
16750,author
16751,"cf,v"
16752,"scholiast,koṣa"
16753,MBh
16754,mother
16755,
16756,river
16757,
16758,work
16759,prince
16760,"Name,work"
16761,
16762,man
16763,"MBh,mothers"
16765,
16766,"puṣpī,kothara,plant,koṭhara"
16767,"wood,trees"
16768,deity
16769,
16770,
16771,MBh
16772,town
16773,"Name,goddess"
16774,
16775,city
16776,plant
16777,
16778,"deity,family"
16779,work
16780,
16781,son
16782,ff
16783,
16784,"MBh,mothers"
16785,MBh
16786,
16787,town
16788,
16789,town
16790,village
16791,tank
16792,
16793,kaudya
16794,locality
16795,
16796,
16797,"son,father"
16798,"bhūṣaṇa,bhushana,vaiyākaraṇa,vaiyakarana,author"
16799,country
16800,
16801,"g,mountain"
16802,cf
16803,MBh
16804,
16805,man
16806,
16807,town
16808,plant
16809,
16810,son
16811,"warrior,tribe,outcast"
16812,
16813,"MBh,mountain"
16814,
16815,plant
16816,
16817,town
16818,"f.,lxxxi"
16819,village
16820,prince
16822,
16823,
16824,"country,vv.ll"
16825,"cf,v,mountain"
16826,
16827,v
16828,"conjunction,planets"
16830,"river,MBh"
16832,"verses,collection"
16833,"Daś,Dash"
16834,
16835,
16836,
16837,shBr
16838,
16839,attendant
16840,"MBh,mountain"
16841,"work,astronomy"
16842,town
16843,"cf,°,man"
16844,ed
16845,country
16846,"country,capital"
16847,
16848,
16849,man
